"x","y","capelin","arccod","nsandlance"
-1081670,133891,0,0,0
-1081670,1383891,0,0,0
-1081670,1433891,1.206959,0,0
-1081670,1483891,4.332549,0,0
-1081670,1533891,36.23241,0,0
-1081670,1583891,0.1260445,0,0
-1081670,1633891,16.17835,0,0
-1081670,1683891,137.7902,0,0
-1081670,1733891,11.37734,0,0
-1081670,183891,0,0,0
-1081670,233891,0,0,0
-1081670,283891,0,0,0
-1081670,333891,0,0,0
-1081670,33891,0,0,0
-1081670,383891,0,0,0
-1081670,433891,0,0,0
-1081670,483891,0,0,0
-1081670,533891,0,0,0
-1081670,583891,0,0,0
-1081670,633891,0,0,0
-1081670,683891,0,0,0
-1081670,733891,0,0,0
-1081670,783891,0,0,0
-1081670,833891,0,0,0
-1081670,83891,0,0,0
-1081670,883891,0,0,0
-1081670,933891,0,0,0
-1081670,983891,0,0,0
-1131670,-1016109,0,0,0
-1131670,-1066109,0,0,0
-1131670,-1116109,0,0,0
-1131670,-116109,0,0,0
-1131670,-1166109,0,0,0
-1131670,-1216109,0,0,0
-1131670,-1266109,0,0,0
-1131670,-1316109,0,0,0
-1131670,-1366109,0,0,0
-1131670,-1416109,0,0,0
-1131670,-1466109,0,0,0
-1131670,-1516109,0,0,0
-1131670,-16109,0,0,0
-1131670,-166109,0,0,0
-1131670,-216109,0,0,0
-1131670,-266109,0,0,0
-1131670,-316109,0,0,0
-1131670,-366109,0,0,0
-1131670,-416109,0,0,0
-1131670,-466109,0,0,0
-1131670,-516109,0,0,0
-1131670,-566109,0,0,0
-1131670,-616109,0,0,0
-1131670,-66109,0,0,0
-1131670,-666109,0,0,0
-1131670,-716109,0,0,0
-1131670,-766109,0,0,0
-1131670,-816109,0,0,0
-1131670,-866109,0,0,0
-1131670,-916109,0,0,0
-1131670,-966109,0,0,0
-1131670,1033891,0,0,0
-1131670,1083891,33.68952,0,0
-1131670,1133891,154.4945,0,0
-1131670,1183891,259.9628,0,0
-1131670,1233891,347.8136,0,0
-1131670,1283891,300.336,0,0
-1131670,1333891,36.5132,0,0
-1131670,133891,0,0,0
-1131670,1383891,0.5310731,0,0
-1131670,1433891,45.35832,0,0
-1131670,1483891,82.54972,0,0
-1131670,1533891,122.5761,0,0
-1131670,1583891,144.0188,0,0
-1131670,1633891,184.5885,0,0
-1131670,1683891,149.441,0,0
-1131670,183891,0,0,0
-1131670,233891,0,0,0
-1131670,283891,0,0,0
-1131670,333891,0,0,0
-1131670,33891,0,0,0
-1131670,383891,0,0,0
-1131670,433891,0,0,0
-1131670,483891,0,0,0
-1131670,533891,0,0,0
-1131670,583891,0,0,0
