"","x_","y_","t_","dt"
"102",490740.945399402,-427310.684412116,2012-11-01 22:00:00,1H 0M 0S
"103",490344.031120014,-427347.881747493,2012-11-01 23:00:00,1H 0M 0S
"104",495951.232933816,-404043.121920806,2012-11-02 00:00:00,1H 0M 0S
"105",491654.05979193,-388933.231613963,2012-11-02 01:00:00,1H 0M 0S
"106",472724.028264228,-394673.043093402,2012-11-02 02:00:00,1H 0M 0S
"107",470056.140699313,-393932.765644751,2012-11-02 03:00:00,1H 0M 0S
"108",478075.642879391,-394229.656914066,2012-11-02 04:00:00,1H 0M 0S
"109",487208.620663512,-388012.191080763,2012-11-02 05:00:00,1H 0M 0S
"110",489433.122307292,-383887.010500705,2012-11-02 06:00:00,1H 0M 0S
"111",489440.59053263,-376628.860124153,2012-11-02 07:00:00,1H 0M 0S
"112",479500.816958324,-365942.743221584,2012-11-02 08:00:00,1H 0M 0S
"113",477948.98816642,-354605.553666576,2012-11-02 09:00:00,1H 0M 0S
"114",474408.535236071,-362348.476688994,2012-11-02 10:00:00,1H 0M 0S
"115",471691.359014983,-363721.162525756,2012-11-02 11:00:00,1H 0M 0S
"116",471556.916763953,-349317.235416202,2012-11-02 12:00:00,1H 0M 0S
"117",472709.703556188,-345365.709558248,2012-11-02 13:00:00,1H 0M 0S
"118",464334.20972455,-337670.637739062,2012-11-02 14:00:00,1H 0M 0S
"119",476264.164215907,-332345.101927277,2012-11-02 15:00:00,1H 0M 0S
"120",479143.476250915,-328983.337742254,2012-11-02 16:00:00,1H 0M 0S
"121",481781.062642053,-325224.080509314,2012-11-02 17:00:00,1H 0M 0S
"122",464631.702213636,-317050.986128437,2012-11-02 18:00:00,1H 0M 0S
"123",485492.165632093,-332286.27478794,2012-11-02 19:00:00,1H 0M 0S
"124",483546.883493535,-334357.36002888,2012-11-02 20:00:00,1H 0M 0S
"125",492730.204777812,-333678.366483865,2012-11-02 21:00:00,1H 0M 0S
"126",493309.861276169,-332334.813255158,2012-11-02 22:00:00,1H 0M 0S
"127",491536.671356807,-329012.641915139,2012-11-02 23:00:00,1H 0M 0S
"128",492870.097305625,-324113.575459055,2012-11-03 00:00:00,1H 0M 0S
"129",500238.279150043,-320911.124177142,2012-11-03 01:00:00,1H 0M 0S
"130",506418.453578063,-309979.910048298,2012-11-03 02:00:00,1H 0M 0S
"131",498875.727494953,-310051.068958814,2012-11-03 03:00:00,1H 0M 0S
"132",498863.036540728,-310050.811573896,2012-11-03 04:00:00,1H 0M 0S
"133",490369.561010783,-314045.590901617,2012-11-03 05:00:00,1H 0M 0S
"134",486345.362952389,-313074.853176576,2012-11-03 06:00:00,1H 0M 0S
"135",475043.681399737,-312083.131045503,2012-11-03 07:00:00,1H 0M 0S
"136",445487.629165731,-307730.472926579,2012-11-03 08:00:00,1H 0M 0S
"137",444807.742740357,-308018.050186863,2012-11-03 09:00:00,1H 0M 0S
"138",436388.063661777,-309686.989465993,2012-11-03 10:00:00,1H 0M 0S
"139",434813.578203244,-310939.679062827,2012-11-03 11:00:00,1H 0M 0S
"140",416498.344533259,-318233.042563073,2012-11-03 12:00:00,1H 0M 0S
"141",413058.947903466,-313844.770605297,2012-11-03 13:00:00,1H 0M 0S
"142",419082.006247342,-316148.273936494,2012-11-03 14:00:00,1H 0M 0S
"143",416466.541626917,-327692.324852636,2012-11-03 15:00:00,1H 0M 0S
"144",410841.872905309,-343265.073795113,2012-11-03 16:00:00,1H 0M 0S
"145",409473.997931893,-342354.928956655,2012-11-03 17:00:00,1H 0M 0S
"146",415449.483490367,-292499.578852525,2012-11-03 18:00:00,1H 0M 0S
"147",416904.086585325,-292809.326512969,2012-11-03 19:00:00,1H 0M 0S
"148",435483.661825325,-308503.273138071,2012-11-03 20:00:00,1H 0M 0S
"149",449069.069364711,-307934.741454375,2012-11-03 21:00:00,1H 0M 0S
"150",456382.153220078,-307054.868824954,2012-11-03 22:00:00,1H 0M 0S
"151",465315.848849564,-306582.712541456,2012-11-03 23:00:00,1H 0M 0S
"152",465420.897749236,-305879.865907909,2012-11-04 00:00:00,1H 0M 0S
"153",466458.545764305,-304766.822924302,2012-11-04 01:00:00,1H 0M 0S
"154",479930.831120837,-298336.999245043,2012-11-04 02:00:00,1H 0M 0S
"155",479256.597794373,-304127.823358976,2012-11-04 03:00:00,1H 0M 0S
"156",478954.25707562,-303979.476130448,2012-11-04 04:00:00,1H 0M 0S
"157",477622.096919811,-304068.292002187,2012-11-04 05:00:00,1H 0M 0S
"158",478193.451882762,-242026.130998899,2012-11-04 06:00:00,1H 0M 0S
"159",486838.391713471,-235638.629590716,2012-11-04 07:00:00,1H 0M 0S
"160",489464.320315685,-235635.814069923,2012-11-04 08:00:00,1H 0M 0S
"161",499145.201997415,-233491.790716493,2012-11-04 09:00:00,1H 0M 0S
"162",502615.752810456,-229509.336283036,2012-11-04 10:00:00,1H 0M 0S
"163",508292.066197261,-227819.354595096,2012-11-04 11:00:00,1H 0M 0S
"164",497025.873395834,-217161.097967738,2012-11-04 12:00:00,1H 0M 0S
"165",502785.663195539,-223836.879790093,2012-11-04 13:00:00,1H 0M 0S
"166",508463.266800986,-226544.605540236,2012-11-04 14:00:00,1H 0M 0S
"167",513956.36879974,-224890.792654536,2012-11-04 15:00:00,1H 0M 0S
"168",516386.63087788,-224340.019365369,2012-11-04 16:00:00,1H 0M 0S
"169",516214.499345321,-224387.515551505,2012-11-04 17:00:00,1H 0M 0S
"170",520151.8201231,-203897.545520337,2012-11-04 18:00:00,1H 0M 0S
"171",488184.545396768,-191233.200708053,2012-11-04 19:00:00,1H 0M 0S
"172",483409.489349604,-205813.752001689,2012-11-04 20:00:00,1H 0M 0S
"173",497366.387041466,-187162.170495403,2012-11-04 21:00:00,1H 0M 0S
"174",501863.521499589,-180640.821383878,2012-11-04 22:00:00,1H 0M 0S
"175",505857.132011437,-180704.978012719,2012-11-04 23:00:00,1H 0M 0S
"176",504476.364260532,-181303.914801348,2012-11-05 00:00:00,1H 0M 0S
"177",520669.136469107,-168728.083320806,2012-11-05 01:00:00,1H 0M 0S
"178",520789.691338176,-168851.564241964,2012-11-05 02:00:00,1H 0M 0S
"179",520855.776896958,-168806.313087699,2012-11-05 03:00:00,1H 0M 0S
"180",506681.175068658,-165594.001084987,2012-11-05 04:00:00,1H 0M 0S
"181",506654.411555677,-165584.712907031,2012-11-05 05:00:00,1H 0M 0S
"182",506665.657272013,-165585.580574539,2012-11-05 06:00:00,1H 0M 0S
"183",506652.022786444,-166084.7511422,2012-11-05 07:00:00,1H 0M 0S
"184",507920.996188851,-166891.871567763,2012-11-05 08:00:00,1H 0M 0S
"185",510556.495730969,-169630.094715665,2012-11-05 09:00:00,1H 0M 0S
"186",510554.076864238,-169630.041515104,2012-11-05 10:00:00,1H 0M 0S
"187",510541.30869878,-169631.666254353,2012-11-05 11:00:00,1H 0M 0S
"188",510238.361234411,-169615.992680709,2012-11-05 12:00:00,1H 0M 0S
"189",525531.308290781,-181808.566910956,2012-11-05 13:00:00,1H 0M 0S
"190",525821.822571986,-181720.614799314,2012-11-05 14:00:00,1H 0M 0S
"191",525847.024622375,-181692.967573636,2012-11-05 15:00:00,1H 0M 0S
"192",525927.845192826,-181663.996261751,2012-11-05 16:00:00,1H 0M 0S
"193",525531.873485157,-184645.767773167,2012-11-05 17:00:00,1H 0M 0S
"194",527861.420485833,-192023.327200458,2012-11-05 18:00:00,1H 0M 0S
"195",524287.602154417,-204568.100727537,2012-11-05 19:00:00,1H 0M 0S
"196",507339.674721763,-197332.76717746,2012-11-05 20:00:00,1H 0M 0S
"197",508258.740015002,-196785.119468879,2012-11-05 21:00:00,1H 0M 0S
"198",510710.856754879,-184835.610070079,2012-11-05 22:00:00,1H 0M 0S
"199",513534.010955904,-168863.648453847,2012-11-05 23:00:00,1H 0M 0S
"200",513330.414819428,-168909.559909243,2012-11-06 00:00:00,1H 0M 0S
"201",513309.964638792,-168892.989949721,2012-11-06 01:00:00,1H 0M 0S
"202",512173.742023124,-168492.854498384,2012-11-06 02:00:00,1H 0M 0S
"203",512589.714927209,-165792.052554078,2012-11-06 03:00:00,1H 0M 0S
"204",512966.768471821,-165881.810496411,2012-11-06 04:00:00,1H 0M 0S
"205",512927.159129103,-165899.228334776,2012-11-06 05:00:00,1H 0M 0S
"206",513097.452504736,-165867.649848198,2012-11-06 06:00:00,1H 0M 0S
"207",514752.515057106,-169814.163574369,2012-11-06 07:00:00,1H 0M 0S
"208",514707.959920252,-170645.479373283,2012-11-06 08:00:00,1H 0M 0S
"209",542786.157458916,-160911.439011765,2012-11-06 09:00:00,1H 0M 0S
"210",542223.944799194,-165477.066876702,2012-11-06 10:00:00,1H 0M 0S
"211",541792.680437861,-175002.929549628,2012-11-06 11:00:00,1H 0M 0S
"212",541401.952512969,-177711.284078499,2012-11-06 12:00:00,1H 0M 0S
"213",541364.183863591,-177740.62358746,2012-11-06 13:00:00,1H 0M 0S
"214",541410.048992031,-177756.737953467,2012-11-06 14:00:00,1H 0M 0S
"215",541729.471089415,-178307.22943591,2012-11-06 15:00:00,1H 0M 0S
"216",541021.357135325,-179910.539355071,2012-11-06 16:00:00,1H 0M 0S
"217",541029.628361835,-180259.796901914,2012-11-06 17:00:00,1H 0M 0S
"218",541029.508286572,-180259.948854093,2012-11-06 18:00:00,1H 0M 0S
"219",535478.585187142,-189776.146350407,2012-11-06 19:00:00,1H 0M 0S
"220",532589.581047624,-189122.158766632,2012-11-06 20:00:00,1H 0M 0S
"221",532377.717385431,-189417.449254212,2012-11-06 21:00:00,1H 0M 0S
"222",534236.317157603,-183155.081946092,2012-11-06 22:00:00,1H 0M 0S
"223",529082.800895987,-181730.502165248,2012-11-06 23:00:00,1H 0M 0S
"224",523490.313827745,-182088.398793298,2012-11-07 00:00:00,1H 0M 0S
"225",524292.024794393,-181963.865437539,2012-11-07 01:00:00,1H 0M 0S
"226",522277.143365501,-183672.638674608,2012-11-07 02:00:00,1H 0M 0S
"227",517640.937759037,-175082.569253739,2012-11-07 03:00:00,1H 0M 0S
"228",515706.797362986,-169672.485114876,2012-11-07 04:00:00,1H 0M 0S
